Temperature,Humidity,Datetime
30.50,71.00,2020/7/5 07:30:12
30.70,71.00,2020/7/5 07:30:16
30.70,71.00,2020/7/5 07:30:21
30.50,71.00,2020/7/5 07:30:25
30.50,71.00,2020/7/5 07:30:29
30.50,71.00,2020/7/5 07:30:33
30.60,71.00,2020/7/5 07:30:38
30.60,71.00,2020/7/5 07:30:42
30.50,71.00,2020/7/5 07:30:46
30.40,71.00,2020/7/5 07:30:50
30.60,71.00,2020/7/5 07:30:54
30.50,71.00,2020/7/5 07:30:59
30.70,71.00,2020/7/5 07:31:03
30.40,71.00,2020/7/5 07:31:08
30.80,71.00,2020/7/5 07:31:12
30.80,71.00,2020/7/5 07:31:16
30.60,71.00,2020/7/5 07:31:20
30.70,71.00,2020/7/5 07:31:25
30.50,71.00,2020/7/5 07:31:29
30.50,71.00,2020/7/5 07:31:33
30.80,71.00,2020/7/5 07:31:37
30.80,71.00,2020/7/5 07:31:42
30.50,71.00,2020/7/5 07:31:47
30.50,71.00,2020/7/5 07:31:51
30.50,71.00,2020/7/5 07:31:56
30.50,71.00,2020/7/5 07:32:00
30.50,71.00,2020/7/5 07:32:04
30.60,71.00,2020/7/5 07:32:09
30.50,71.00,2020/7/5 07:32:13
30.40,71.00,2020/7/5 07:32:18
30.80,71.00,2020/7/5 07:32:22
30.60,71.00,2020/7/5 07:32:26
30.50,71.00,2020/7/5 07:32:30
30.50,71.00,2020/7/5 07:32:35
30.40,71.00,2020/7/5 07:32:39
30.60,71.00,2020/7/5 07:32:43
30.60,71.00,2020/7/5 07:32:48
30.50,71.00,2020/7/5 07:32:52
30.50,71.00,2020/7/5 07:32:56
30.50,71.00,2020/7/5 07:33:00
30.50,71.00,2020/7/5 07:33:05
30.70,71.00,2020/7/5 07:33:09
30.60,71.00,2020/7/5 07:33:13
30.50,71.00,2020/7/5 07:33:17
30.50,71.00,2020/7/5 07:33:21
30.50,71.00,2020/7/5 07:33:26
30.50,71.00,2020/7/5 07:33:30
31.90,69.00,2020/7/4 23:50:42
30.70,71.00,2020/7/5 07:33:44
30.50,71.00,2020/7/5 07:33:49
30.50,71.00,2020/7/5 07:33:53
30.50,71.00,2020/7/5 07:33:57
30.50,71.00,2020/7/5 07:34:02
30.50,71.00,2020/7/5 07:34:06
30.50,71.00,2020/7/5 07:34:11
30.50,71.00,2020/7/5 07:34:15
30.50,71.00,2020/7/5 07:34:19
30.50,71.00,2020/7/5 07:34:23
30.60,71.00,2020/7/5 07:34:28
30.50,71.00,2020/7/5 07:34:32
30.50,71.00,2020/7/5 07:34:36
30.50,71.00,2020/7/5 07:34:40
30.50,71.00,2020/7/5 07:34:45
30.50,71.00,2020/7/5 07:34:49
30.50,71.00,2020/7/5 07:34:53
30.50,71.00,2020/7/5 07:34:57
30.90,71.00,2020/7/5 07:35:02
30.50,71.00,2020/7/5 07:35:06
30.40,71.00,2020/7/5 07:35:10
30.50,71.00,2020/7/5 07:35:15
30.50,71.00,2020/7/5 07:35:19
30.50,71.00,2020/7/5 07:35:23
30.80,71.00,2020/7/5 07:35:27
30.50,71.00,2020/7/5 07:35:32
30.50,71.00,2020/7/5 07:35:36
30.50,71.00,2020/7/5 07:35:40
30.50,71.00,2020/7/5 07:35:44
30.60,71.00,2020/7/5 07:35:49
30.70,72.00,2020/7/5 07:35:53
30.50,72.00,2020/7/5 07:35:57
30.80,72.00,2020/7/5 07:36:01
30.60,72.00,2020/7/5 07:36:05
30.50,72.00,2020/7/5 07:36:10
30.50,72.00,2020/7/5 07:36:14
30.70,72.00,2020/7/5 07:36:18
30.50,72.00,2020/7/5 07:36:22
30.50,72.00,2020/7/5 07:36:26
30.50,72.00,2020/7/5 07:36:30
30.60,72.00,2020/7/5 07:36:35
30.40,72.00,2020/7/5 07:36:39
30.50,72.00,2020/7/5 07:36:43
30.80,72.00,2020/7/5 07:36:47
30.50,72.00,2020/7/5 07:36:51
30.50,72.00,2020/7/5 07:36:56
30.50,72.00,2020/7/5 07:37:00
30.60,72.00,2020/7/5 07:37:04
30.50,72.00,2020/7/5 07:37:08
30.60,72.00,2020/7/5 07:37:13
30.70,72.00,2020/7/5 07:37:17
30.70,72.00,2020/7/5 07:37:22
30.70,72.00,2020/7/5 07:37:26
30.80,72.00,2020/7/5 07:37:30
30.80,72.00,2020/7/5 07:37:34
30.80,72.00,2020/7/5 07:37:39
30.80,72.00,2020/7/5 07:37:43
30.90,72.00,2020/7/5 07:37:47
30.90,72.00,2020/7/5 07:37:51
30.80,72.00,2020/7/5 07:37:56
30.80,72.00,2020/7/5 07:38:00
30.90,72.00,2020/7/5 07:38:04
30.90,72.00,2020/7/5 07:38:08
30.90,72.00,2020/7/5 07:38:12
30.90,72.00,2020/7/5 07:38:17
30.90,72.00,2020/7/5 07:38:21
30.90,72.00,2020/7/5 07:38:26
30.90,72.00,2020/7/5 07:38:30
30.90,72.00,2020/7/5 07:38:34
30.90,72.00,2020/7/5 07:38:38
30.90,72.00,2020/7/5 07:38:43
30.90,72.00,2020/7/5 07:38:47
30.90,72.00,2020/7/5 07:38:51
30.80,72.00,2020/7/5 07:38:55
30.90,72.00,2020/7/5 07:38:59
30.90,72.00,2020/7/5 07:39:04
30.90,72.00,2020/7/5 07:39:08
30.90,72.00,2020/7/5 07:39:12
30.90,72.00,2020/7/5 07:39:16
30.80,72.00,2020/7/5 07:39:21
30.90,72.00,2020/7/5 07:39:25
30.90,72.00,2020/7/5 07:39:30
30.90,72.00,2020/7/5 07:39:34
30.90,72.00,2020/7/5 07:39:38
30.90,72.00,2020/7/5 07:39:42
30.90,72.00,2020/7/5 07:39:47
30.80,72.00,2020/7/5 07:39:51
30.90,72.00,2020/7/5 07:39:55
30.90,72.00,2020/7/5 07:39:59
30.90,72.00,2020/7/5 07:40:03
30.90,72.00,2020/7/5 07:40:08
30.90,72.00,2020/7/5 07:40:12
30.90,72.00,2020/7/5 07:40:16
30.90,72.00,2020/7/5 07:40:20
30.90,72.00,2020/7/5 07:40:25
30.90,72.00,2020/7/5 07:40:29
30.90,72.00,2020/7/5 07:40:33
30.90,72.00,2020/7/5 07:40:37
30.90,72.00,2020/7/5 07:40:41
30.90,72.00,2020/7/5 07:40:45
30.90,72.00,2020/7/5 07:40:50
30.90,72.00,2020/7/5 07:40:55
30.90,72.00,2020/7/5 07:40:59
30.80,72.00,2020/7/5 07:41:04
30.90,72.00,2020/7/5 07:41:08
30.90,72.00,2020/7/5 07:41:12
30.80,72.00,2020/7/5 07:41:16
30.80,72.00,2020/7/5 07:41:21
30.90,72.00,2020/7/5 07:41:25
30.90,72.00,2020/7/5 07:41:29
30.90,72.00,2020/7/5 07:41:34
30.90,72.00,2020/7/5 07:41:38
30.90,72.00,2020/7/5 07:41:42
30.80,72.00,2020/7/5 07:41:46
30.70,72.00,2020/7/5 07:41:51
30.80,72.00,2020/7/5 07:41:55
30.80,72.00,2020/7/5 07:41:59
30.70,72.00,2020/7/5 07:42:03
30.80,72.00,2020/7/5 07:42:08
30.80,72.00,2020/7/5 07:42:12
30.70,72.00,2020/7/5 07:42:16
30.80,72.00,2020/7/5 07:42:20
30.70,72.00,2020/7/5 07:42:25
30.80,72.00,2020/7/5 07:42:29
30.70,72.00,2020/7/5 07:42:33
30.70,72.00,2020/7/5 07:42:38
30.80,72.00,2020/7/5 07:42:42
30.70,72.00,2020/7/5 07:42:46
30.80,72.00,2020/7/5 07:42:50
30.70,72.00,2020/7/5 07:42:55
30.80,72.00,2020/7/5 07:42:59
30.70,72.00,2020/7/5 07:43:03
30.70,72.00,2020/7/5 07:43:07
30.70,72.00,2020/7/5 07:43:11
30.80,72.00,2020/7/5 07:43:16
30.70,72.00,2020/7/5 07:43:20
30.70,72.00,2020/7/5 07:43:24
30.70,72.00,2020/7/5 07:43:28
30.60,72.00,2020/7/5 07:43:33
30.70,72.00,2020/7/5 07:43:37
30.80,72.00,2020/7/5 07:43:41
30.80,72.00,2020/7/5 07:43:45
30.70,72.00,2020/7/5 07:43:49
30.60,72.00,2020/7/5 07:43:53
30.70,72.00,2020/7/5 07:43:58
30.70,72.00,2020/7/5 07:44:02
30.70,72.00,2020/7/5 07:44:07
30.70,72.00,2020/7/5 07:44:11
30.70,72.00,2020/7/5 07:44:15
30.60,72.00,2020/7/5 07:44:20
30.70,72.00,2020/7/5 07:44:24
30.70,72.00,2020/7/5 07:44:28
30.70,72.00,2020/7/5 07:44:32
30.70,72.00,2020/7/5 07:44:36
30.70,72.00,2020/7/5 07:44:42
30.80,72.00,2020/7/5 07:44:46
30.80,72.00,2020/7/5 07:44:50
30.70,72.00,2020/7/5 07:44:54
30.80,72.00,2020/7/5 07:44:59
30.70,72.00,2020/7/5 07:45:03
30.70,72.00,2020/7/5 07:45:07
30.70,72.00,2020/7/5 07:45:11
30.70,72.00,2020/7/5 07:45:16
30.70,72.00,2020/7/5 07:45:20
30.80,72.00,2020/7/5 07:45:24
30.60,72.00,2020/7/5 07:45:28
30.70,72.00,2020/7/5 07:45:32
